qstr_Breaking_camp...|Breaking camp...
qstr_Vous_êtes_au_tour_2_|You are in the 2nd round of Group B in the tournament. 14 participants remain.^Next fight:^Groupe B: {s30} versus {s31}.
qstr_Vous_êtes_au_tour_3_|You are in the 3rd round of Group B in the tournament. 12 participants remain.^Next fight:^Groupe B: {s30} versus {s31}.
qstr_Vous_êtes_au_tour_4_|You are in the 4th round of Group B in the tournament. 10 participants remain.^Next fight:^Groupe B: {s30} versus {s31}.
qstr_Vous_êtes_au_tour_5_|You are in the 5th round of Group B in the tournament. 8 participants remain.^Next fight:^Groupe B: {s30} versus {s31}.
qstr_Vous_êtes_au_tour_6_|You are in the quarter-final round of Group B in the tournament. 6 participants remain.^Next fight:^Groupe B: {s30} versus {s31}.
qstr_Vous_êtes_au_tour_7_|You are in the semi-final round of Group B in the tournament. 4 participants remain.^Next fight:^Groupe B: {s30} versus {s31}.
qstr_Vous_êtes_en_finale_|You are in the final of the tournament in Group B. 2 participants remain.^Next fight:^Groupe B: {s30} versus {s31}.
qstr_You_were_beaten._The|You were beaten. The peasants are heartened by their success, but the lesson you wanted to teach them probably didn't get through...
qstr_After_beating_your_l|After beating your last opponent, you explain to the peasants how to better defend themselves against such an attack. Hopefully they'll take the experience on board and will be prepared next time.
qstr_The_bandits_are_brok|The bandits are broken! Those few who remain alive and conscious run off with their tails between their legs, terrified of the peasants and their new champion.
qstr_{s1}_s_Ship|{s1}'s Ship
qstr_However_{reg3?You_a|However, {reg3?You are:{s1} is} unable to find any trade goods that would bring a profit.
qstr_^Buying_{s4}_here_an|^Buying {s4} here and selling it at {s5} would bring a profit of {reg6} denars per item.{s3}
qstr_{reg3?You_find:{s1}_|{reg3?You find:{s1} finds} out the following:^{s3}
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1} {s1} earned {reg0} experience.
qstr_{s2}^{s1}_earned_an_|{s2}^{s1} earned an additional {reg0} experience.
qstr_^You_earned_{reg0}_e|^You earned {reg0} experience.{s2}
qstr_The_training_didn_t_|The training didn't go well at all.
qstr_The_training_didn_t_g|The training didn't go very well.
qstr_The_training_went_qu|The training went quite well.
qstr_The_training_went_ve|The training went very well.
qstr_The_training_went_pe|The training went perfectly.
qstr_{s13}_asked_you_to_r|{s13} asked you to report to him with at least {reg13} troops.
qstr_{s13}_ordered_you_to|{s13} ordered you to join the assault against {s14}.
qstr_There_has_been_an_al|There has been an alleged border incident: {s9}
qstr_^^Note_that_so_long_|^^Note that so long as you remain marshal, the lords of the realm will be expecting you to lead them on campaign. So, if you are awaiting a feast, either for a wedding or for other purposes, you may wish to resign the marshalship by speaking to your liege.
qstr_Le_camp_Rebelle_a_é|The rebel camp is dismantled and their water supply destroyed.
qstr_Personne_ici_ne_veut|Nobody here wants to join your group.
qstr_{s3}_est_l_unique_vo|{s3} is the only one that wants to join your group.
qstr_{reg5}_{s3}_souhaite|{reg5} {s3} want to follow you.
qstr___{reg1}_écus_par_n| ({reg1} denars per night.)
qstr_You_have_deserted_a|You have deserted, and are now wanted!
qstr_You_defeated_{reg5}_|You defeated {reg5} enemies.
qstr_You_failed_to_defeat|You failed to defeat any enemy.
qstr_you_and_some_men_fro|you and some men from your division
qstr_You_and_your_men|You and your men
qstr_You|You
qstr_You_defeated_the_ene|You defeated the enemies.
qstr_You_failed_to_defeat_|You failed to defeat the enemy.
qstr_Freelancer_Rank___{r|Freelancer Rank - {reg3}
qstr_Enlisted_Lord_Set_to|Enlisted Lord Set to Jeanne
qstr_You_defeated_{reg5}_e|You defeated {reg5} enemies and have impressed your commander.
qstr_You_will_be_followin|You will be following the Lord/Lady you chose and will be joining in battles they get into.^ You can also get promoted as you gain experience. ^^Lastly, you can increase the map speed while enlisted by pressing the '=' key (next to the backspace key).
qstr_You_are_now_enlisted!|You are now enlisted!
