1135
qstr_Breaking_camp... Breaking_camp...
qstr_{!}DEBUG____{s15}_is {!}DEBUG_--_{s15}_is_strongest_kingdom
qstr_{!}DEBUG____{s15}_ha {!}DEBUG_--_{s15}_has_30_point_advantage_over_{s16}
qstr_{!}DEBUG____{s15}_has {!}DEBUG_--_{s15}_has_proximity_to_{s16}
qstr_{!}Castle_taken_by_{ {!}Castle_taken_by_{s3}
qstr_{!}Two_thirds_averag {!}Two-thirds_average_renown_=_{reg3}
qstr_{!}DEBUG____Colleagu {!}DEBUG_--_Colleague_test:_score_for_{s10}_=_{reg3}
qstr_{!}DEBUG____Open_tes {!}DEBUG_--_Open_test:_score_for_{s10}_=_{reg3}
qstr_{!}DEBUG____{s8}_bac {!}DEBUG_--_{s8}_backs_{s9}:{s10}
qstr_{!}DEBUG____{s4}_pro {!}DEBUG_--_{s4}_produces_a_faction_strategy_for_{s33}
qstr_{!}Best_offensive_ta {!}Best_offensive_target_{s4}_has_value_level_of_{reg1}
qstr_{!}No_center_found_t {!}No_center_found_to_attack
qstr_{!}Best_threat_of_{s {!}Best_threat_of_{s4}_has_value_level_of_{reg1}
qstr_{!}No_center_found_to {!}No_center_found_to_defend
qstr_Best_threat_of_{s4}_ Best_threat_of_{s4}_has_value_level_of_{reg1}
qstr_No_center_found_to_d No_center_found_to_defend
qstr_You_gain_right_to_ru You_gain_right_to_rule.
qstr_You_lose_right_to_ru You_lose_right_to_rule.
qstr_{!}{s9} {!}{s9}
qstr_Vous_gagnez_1_point_ Vous_gagnez_1_point_en_equitation.
qstr_Vous_etes_retablis. Vous_etes_retablis.
qstr_Vous_gagnez_1_point_e Vous_gagnez_1_point_en_ingenieurie.
qstr_Vous_gagnez_50_point Vous_gagnez_50_points_en_maitrise_des_armes_a_deux_mains.
qstr_Vous_gagnez_50_points Vous_gagnez_50_points_en_maitrise_des_armes_a_une_main_et_un_point_de_maitrise_des_boucliers.
qstr_Je_doit_chercher_la_ Je_doit_chercher_la_trace_des_rebels_dans_la_ville_phantome_de_Toul.
qstr_Vous_etes_rassasié_ Vous_etes_rassasié_!
qstr_Bléssures:_Vous_vou Bléssures:_Vous_vous_en_sortez_indèmne_!
qstr_Bléssures:_Vous_ete Bléssures:_Vous_etes_blessé_au_bras_!
qstr_Bléssures:_Vous_etes Bléssures:_Vous_etes_blessé_a_la_jambe_!
qstr_Bléssures:_Vous_etes_ Bléssures:_Vous_etes_griévement_blessé_a_la_tête_!
qstr_Bléures:_Vous_vous_ Bléures:_Vous_vous_en_sortez_indèmne_!
qstr_Votre_Bléssure_au_b Votre_Bléssure_au_bras_es_guérie_!
qstr_Votre_Bléssure_a_la Votre_Bléssure_a_la_jambe_guérie_!
qstr_Votre_Bléssure_a_la_ Votre_Bléssure_a_la_tête_es_guérie_!
qstr_J_ai_lu_dans_le_livr J'ai_lu_dans_le_livre_de_l'Initiation_au_savoir_franc_maconique_comment_ouvrire_le_passage_secret_de_Carmel_de_Micy_a_Orléans_qui_me_ménera_a_la_carte_des_temples_secret_abritant_le_vieux_trésort_des_templiers.
qstr_J_ai_lu_dans_le_livre J'ai_lu_dans_le_livre_des_loges_franc_maconiques_secretes_qu'il_y_as_une_loge_importante_dont_l'entrée_est_dans_le_vieux_cimetière_de_la_ville_de_Rouen,_j'approche_peut_etre_du_but,_et_du_trésort_!
qstr_{!}script_battlegrou {!}script_battlegroup_place_around_leader:_invalid_leader_agent_(bad_call)
qstr_{!}script_battlegroup {!}script_battlegroup_place_around_leader:_leader_team_mismatch_(bad_call)
qstr_ranks ranks
qstr_shield_wall shield_wall
qstr_wedge wedge
qstr_square square
qstr_up up
qstr_Division_{reg1}_{s2}_fo Division_{reg1}_{s2}_forming_{s1}.
qstr_Not_enough_troops_in Not_enough_troops_in_division_{reg1}_{s2}_to_form_{s1}.
qstr_Division_{reg1}_{s2}_i Division_{reg1}_{s2}_is_an_{s3}_division_and_cannot_form_{s1}.
qstr_{s1}:_infantry_forma {s1}:_infantry_formation_disassembled.
qstr_{s1}:_archer_formati {s1}:_archer_formation_disassembled.
qstr_{s1}:_skirmisher_for {s1}:_skirmisher_formation_disassembled.
qstr_{s1}:_cavalry_format {s1}:_cavalry_formation_disassembled.
qstr_{s1}:_formation_disa {s1}:_formation_disassembled.
qstr_Cavalry_formation_di Cavalry_formation_disassembled.
qstr_The_placement_of_{s1 The_placement_of_{s1}_division_{reg0}_memorized.
qstr_The_placement_of_{s1} The_placement_of_{s1}_division_{reg0}_set_to_default.
qstr_Your_party_s_tactica Your_party's_tactical_skill_limits_how_far_away_you_can_deploy_your_troops!
qstr_...and_attack_enemy_ ...and_attack_enemy_{s1}_division!
qstr_{s2}:_returning_afte {s2}:_returning_after_destroying_enemy_{s1}_division.
qstr_infantry infantry
qstr_archer archer
qstr_cavalry cavalry
qstr_polearm polearm
qstr_skirmisher skirmisher
qstr_mounted_archer mounted_archer
qstr_support support
qstr_bodyguard bodyguard
qstr_undetermined_type_of undetermined_type_of
qstr_{!}battlegroup_get_a {!}battlegroup_get_action_radius:_negative_radius_for_team_{reg0}_division_{reg1}_formation_{reg2}
qstr_Lame Lame
qstr_Swaybacked Swaybacked
qstr_Timid Timid
qstr_Meek Meek
qstr_Stubborn Stubborn
qstr_Heavy Heavy
qstr_Spirited Spirited
qstr_Champion Champion
qstr_Cracked Cracked
qstr_Battered Battered
qstr_Thick Thick
qstr_Reinforced Reinforced
qstr_Rusty Rusty
qstr_Tattered Tattered
qstr_Ragged Ragged
qstr_Crude Crude
qstr_Sturdy Sturdy
qstr_Hardened Hardened
qstr_Lordly Lordly
qstr_Broken Broken
qstr_Bent Bent
qstr_Chipped Chipped
qstr_Strong Strong
qstr_Balanced Balanced
qstr_Tempered Tempered
qstr_Masterwork Masterwork
qstr_Large_Bag_of Large_Bag_of
qstr_You_have_been_enlist You_have_been_enlisted!
qstr_Current_rank:_{s5} Current_rank:_{s5}
qstr_You_have_left_your_c You_have_left_your_commander!
qstr_You_have_been_grante You_have_been_granted_leave!
qstr_You_have_rejoined_yo You_have_rejoined_your_commander!
qstr_{s3}_{s2} {s3},_{s2}
qstr_The_equipment_of_a_{ The_equipment_of_a_{s1}:_{s2}is_assigned_to_you.
qstr_The_equipment_of_a_{s The_equipment_of_a_{s1}:_{s2}is_taken_from_you.
qstr_{!}DEBUG____Wanted_b {!}DEBUG_--_Wanted_bandits_spotted_by_{s4}
qstr_The_released_prisone The_released_prisoners_were_not_be_trusted_and_they_are_preparing_to_attack_you!
qstr_Warning! Warning!
qstr_The_released_prisoner The_released_prisoners_scattered_as_soon_as_the_battle_finished._You_will_not_be_seeing_them_again.
qstr_Notice! Notice!
qstr_The_released_prisoners The_released_prisoners_have_remained_loyal_and_will_join_your_party
qstr_You_have_{reg0}_days_ You_have_{reg0}_days_left_till_you_are_declared_as_a_deserter!
qstr_You_have_now_been_de You_have_now_been_declared_as_a_deserter!
qstr_You_have_{reg0}_days_l You_have_{reg0}_days_left_on_your_vacation.
qstr_Speed:_{reg22} Speed:_{reg22}
qstr_You_are_now_enlisted You_are_now_enlisted!_You_will_be_following_the_lord/lady_you_chose_and_will_be_joining_in_battles_they_get_into._You_can_also_get_promoted_as_you_gain_experience._^Lastly,_you_can_increase_the_map_speed_while_enlisted_by_pressing_the_'='_key_(next_to_the_backspace_key).
qstr_Next_Page Next_Page
qstr_Game_Rules:^ Game_Rules:^
qstr_0 0
qstr_Show_game_rules Show_game_rules
qstr_Continue... Continue...
qstr_Candidate_#1:_{s1} Candidate_#1:_{s1}
qstr_Candidate_#2:_{s1} Candidate_#2:_{s1}
qstr_{s3}_of_{s4}_wishes_ {s3}_of_{s4}_wishes_to_select_a_new_marshall_and_invites_his_vassals_for_a_counsel._{s1}_and_{s2}_are_the_likely_candidates.
qstr_Who_do_you_wish_to_s Who_do_you_wish_to_support?
qstr_{!}{s1} {!}{s1}
qstr_{s1}_gives_his_suppo {s1}_gives_his_support_to_{s2}.
qstr_Number_of_Supporters Number_of_Supporters:_{reg0}
qstr_{s2}_has_heard_his_v {s2}_has_heard_his_vassals'_counsel._He_selects_{s1}_as_the_marshall_of_{s3}.
qstr_Number_of_men_knocke Number_of_men_knocked_down:_{reg1}
qstr_Number_of_men_left:_ Number_of_men_left:_{reg1}
qstr_Opponents_Beaten:_{r Opponents_Beaten:_{reg1}
qstr_Opponents_Remaining: Opponents_Remaining:_{reg1}
qstr_Remain_in_retirement Remain_in_retirement.
qstr_Go_back_to_the_adven Go_back_to_the_adventuring.
qstr_You_have_retired_at_ You_have_retired_at_level_{reg4}_after_{reg5}_days_of_adventuring.
qstr_Effect_on_Score Effect_on_Score
qstr_Settlements_owned_by Settlements_owned_by_you:_{reg0}
qstr_{!}{reg0?+:}{reg0} {!}{reg0?+:}{reg0}
qstr_Friendly_Settlements Friendly_Settlements:_{reg0}
qstr_Hostile_Settlements: Hostile_Settlements:_{reg0}
qstr_{!}{reg0} {!}{reg0}
qstr_Friendly_Lords:_{reg Friendly_Lords:_{reg0}
qstr_Enemy_Lords:_{reg0} Enemy_Lords:_{reg0}
qstr_Victories:_{reg0} Victories:_{reg0}
qstr_Defeats:_{reg0} Defeats:_{reg0}
qstr_Quests_Completed:_{r Quests_Completed:_{reg0}
qstr_Companions_Found:_{r Companions_Found:_{reg0}
qstr_Companions_Lost/Depa Companions_Lost/Departed:_{reg0}
qstr_Wealth:_{reg0}_denar Wealth:_{reg0}_denars
qstr_Inventory:_{reg0}_de Inventory:_{reg0}_denars
qstr_Renown:_{reg0} Renown:_{reg0}
qstr_Experience:_{reg0} Experience:_{reg0}
qstr_Days_Passed:_{reg0} Days_Passed:_{reg0}
qstr_Difficulty:_{reg0}% Difficulty:_{reg0}%
qstr_{!}{reg3?+:}{reg0} {!}{reg3?+:}{reg0}
qstr_TOTAL_SCORE:_{reg0} TOTAL_SCORE:_{reg0}
qstr_{!}DEBUG____Adding_{ {!}DEBUG_--_Adding_{reg3}_items_to_{s3}
qstr_F4___Complex_formati F4_-_Complex_formations
qstr_F7___Memorize_div._p F7_-_Memorize_div._placement
qstr_F8___Default_divisio F8_-_Default_division_placement
qstr_F4___Ranks F4_-_Ranks
qstr_F5___Shield_Wall F5_-_Shield_Wall
qstr_F6___Wedge F6_-_Wedge
qstr_F7___Square F7_-_Square
qstr_F8___No_Formation F8_-_No_Formation
qstr_1429_Hundred_Years_W 1429_Hundred_Years_War_Mod_Options
qstr_Disable_mod_formatio Disable_mod_formations:_
qstr_Put_player_in_divisi Put_player_in_division:_
qstr_{s1} {s1}
qstr_Army_rotates_to_face Army_rotates_to_face_enemy_center:_
qstr_Prevent_AI_from_taki Prevent_AI_from_taking_defensive:_
qstr_Freelancer:_Prevent_ Freelancer:_Prevent_Desertion_During_Vacation:
qstr_Orders Orders
qstr_Attack_Order Attack_Order
qstr_Retreat Retreat
qstr_Stand_Ground Stand_Ground
qstr_Charge Charge
qstr_Follow_Me Follow_Me
qstr_Hold_This_Position Hold_This_Position
qstr_Spread_Out Spread_Out
qstr_Stand_Closer Stand_Closer
qstr_Fall_Back Fall_Back
qstr_Advance Advance
qstr_Fire_At_Will Fire_At_Will
qstr_Hold_Your_Fire Hold_Your_Fire
qstr_Use_Blunt_Weapons Use_Blunt_Weapons
qstr_Use_Any_Weapon Use_Any_Weapon
qstr_Ready Ready
qstr_Wounded Wounded
qstr_Dead Dead
qstr_CURRENT_COMMANDER_S_ CURRENT_COMMANDER'S_REPORT!
qstr_Your_Commander:_{s19 Your_Commander:_{s19}
qstr_Commander_Relation:_ Commander_Relation:_{reg0}
qstr_Enlisted_Faction:_{s Enlisted_Faction:_{s20}
qstr_Current_Rank:_{s21} Current_Rank:_{s21}
qstr_Experience_to_next_p Experience_to_next_promotion:_{s1}
qstr_Days_in_service:_{re Days_in_service:_{reg20}
qstr_Current_Wage:_{reg23 Current_Wage:_{reg23}_denars.
qstr_Next_Pay/Promotion_d Next_Pay/Promotion_day:_{s25}
qstr_Army_size:_{reg26} Army_size:_{reg26}
qstr_Commander_s_Army Commander's_Army
qstr_Done Done
qstr_{!}{s4}:_M{reg3}_2M {!}{s4}:_M{reg3},_2M{reg4},_PC{reg5},_2PC{reg6},_PM{reg7}
qstr_You_came_into_the_wo You_came_into_the_world_a_{reg3?daughter:son}_of_declining_nobility,_owning_only_the_house_in_which_they_lived._However,_despite_your_family's_hardships,_they_afforded_you_a_good_education_and_trained_you_from_childhood_for_the_rigors_of_aristocracy_and_life_at_court.
qstr_You_were_born_the_{r You_were_born_the_{reg3?daughter:son}_of_travelling_merchants,_always_moving_from_place_to_place_in_search_of_a_profit._Although_your_parents_were_wealthier_than_most_and_educated_you_as_well_as_they_could,_you_found_little_opportunity_to_make_friends_on_the_road,_living_mostly_for_the_moments_when_you_could_sell_something_to_somebody.
qstr_As_a_child_your_fam As_a_child,_your_family_scrabbled_out_a_meagre_living_from_your_father's_wages_as_a_guardsman_to_the_local_lord._It_was_not_an_easy_existence,_and_you_were_too_poor_to_get_much_of_an_education._You_learned_mainly_how_to_defend_yourself_on_the_streets,_with_or_without_a_weapon_in_hand.
qstr_{reg3?daughter:son} {reg3?daughter:son}
qstr_You_were_the_{reg3?d You_were_the_{reg3?daughter:son}_of_a_family_who_lived_off_the_woods,_doing_whatever_they_needed_to_make_ends_meet._Hunting,_woodcutting,_making_arrows,_even_a_spot_of_poaching_whenever_things_got_tight._Winter_was_never_a_good_time_for_your_family_as_the_cold_took_animals_and_people_alike,_but_you_always_lived_to_see_another_dawn,_though_your_brothers_and_sisters_might_not_be_so_fortunate.
qstr_You_were_a_child_of_ You_were_a_child_of_the_steppe,_born_to_a_tribe_of_wandering_nomads_who_lived_in_great_camps_throughout_the_arid_grasslands._Like_the_other_tribesmen,_your_family_revered_horses_above_almost_everything_else,_and_they_taught_you_how_to_ride_almost_before_you_learned_how_to_walk._
qstr_As_the_{reg3?daughte As_the_{reg3?daughter:son}_of_a_thief,_you_had_very_little_'formal'_education._Instead_you_were_out_on_the_street,_begging_until_you_learned_how_to_cut_purses,_cutting_purses_until_you_learned_how_to_pick_locks,_all_the_way_through_your_childhood._Still,_these_long_years_made_you_streetwise_and_sharp_to_the_secrets_of_cities_and_shadowy_backways.
qstr_As_a_{reg3?girl:boy} As_a_{reg3?girl:boy}_growing_out_of_childhood,_you_were_sent_to_live_in_the_court_of_one_of_the_nobles_of_the_land._There,_your_first_lessons_were_in_humility,_as_you_waited_upon_the_lords_and_ladies_of_the_household._But_from_their_chess_games,_their_gossip,_even_the_poetry_of_great_deeds_and_courtly_love,_you_quickly_began_to_learn_about_the_adult_world_of_conflict_and_competition._You_also_learned_from_the_rough_games_of_the_other_children,_who_battered_at_each_other_with_sticks_in_imitation_of_their_elders'_swords.
qstr_As_a_{reg3?girl:boy}_ As_a_{reg3?girl:boy}_growing_out_of_childhood,_you_apprenticed_with_a_local_craftsman_to_learn_a_trade._After_years_of_hard_work_and_study_under_your_new_master,_he_promoted_you_to_journeyman_and_employed_you_as_a_fully_paid_craftsman_for_as_long_as_you_wished_to_stay.
qstr_As_a_{reg3?girl:boy}_g As_a_{reg3?girl:boy}_growing_out_of_childhood,_you_apprenticed_to_a_wealthy_merchant,_picking_up_the_trade_over_years_of_working_shops_and_driving_caravans._You_soon_became_adept_at_the_art_of_buying_low,_selling_high,_and_leaving_the_customer_thinking_they'd_got_the_better_deal.
qstr_As_a_{reg3?girl:boy}_gr As_a_{reg3?girl:boy}_growing_out_of_childhood,_you_took_to_the_streets,_doing_whatever_you_must_to_survive._Begging,_thieving_and_working_for_gangs_to_earn_your_bread,_you_lived_from_day_to_day_in_this_violent_world,_always_one_step_ahead_of_the_law_and_those_who_wished_you_ill.
qstr_As_a_{reg3?girl:boy}_gro As_a_{reg3?girl:boy}_growing_out_of_childhood,_you_rode_the_great_steppes_on_a_horse_of_your_own,_learning_the_ways_of_the_grass_and_the_desert._Although_you_sometimes_went_hungry,_you_became_a_skillful_hunter_and_pathfinder_in_this_trackless_country._Your_body_too_started_to_harden_with_muscle_as_you_grew_into_the_life_of_a_nomad_{reg3?woman:man}.
qstr_{reg3?daughter:man} {reg3?daughter:man}
qstr_Though_the_distincti Though_the_distinction_felt_sudden_to_you,_somewhere_along_the_way_you_had_become_a_{reg3?woman:man},_and_the_whole_world_seemed_to_change_around_you._When_you_were_named_squire_to_a_noble_at_court,_you_practiced_long_hours_with_weapons,_learning_how_to_deal_out_hard_knocks_and_how_to_take_them,_too._You_were_instructed_in_your_obligations_to_your_lord,_and_of_your_duties_to_those_who_might_one_day_be_your_vassals._But_in_addition_to_learning_the_chivalric_ideal,_you_also_learned_about_the_less_uplifting_side_--_old_warriors'_stories_of_ruthless_power_politics,_of_betrayals_and_usurpations,_of_men_who_used_guile_as_well_as_valor_to_achieve_their_aims.
qstr_{reg3?woman:man} {reg3?woman:man}
qstr_Though_the_distinctio Though_the_distinction_felt_sudden_to_you,_somewhere_along_the_way_you_had_become_a_{s13},_and_the_whole_world_seemed_to_change_around_you._You_joined_the_tightly-knit_circle_of_women_at_court,_ladies_who_all_did_proper_ladylike_things,_the_wives_and_mistresses_of_noble_men_as_well_as_maidens_who_had_yet_to_find_a_husband._However,_even_here_you_found_politics_at_work_as_the_ladies_schemed_for_prominence_and_fought_each_other_bitterly_to_catch_the_eye_of_whatever_unmarried_man_was_in_fashion_at_court._You_soon_learned_ways_of_turning_these_situations_and_goings-on_to_your_advantage._With_it_came_the_realisation_that_you_yourself_could_wield_great_influence_in_the_world,_if_only_you_applied_yourself_with_a_little_bit_of_subtlety.
qstr_Though_the_distinction Though_the_distinction_felt_sudden_to_you,_somewhere_along_the_way_you_had_become_a_{s13},_and_the_whole_world_seemed_to_change_around_you._You_set_out_on_your_own_with_nothing_except_the_instrument_slung_over_your_back_and_your_own_voice._It_was_a_poor_existence,_with_many_a_hungry_night_when_people_failed_to_appreciate_your_play,_but_you_managed_to_survive_on_your_music_alone._As_the_years_went_by_you_became_adept_at_playing_the_drunken_crowds_in_your_taverns,_and_even_better_at_talking_anyone_out_of_anything_you_wanted.
qstr_Though_the_distinction_ Though_the_distinction_felt_sudden_to_you,_somewhere_along_the_way_you_had_become_a_{reg3?woman:man},_and_the_whole_world_seemed_to_change_around_you._You_found_yourself_as_a_student_in_the_university_of_one_of_the_great_cities,_where_you_studied_theology,_philosophy,_and_medicine._But_not_all_your_lessons_were_learned_in_the_lecture_halls._You_may_or_may_not_have_joined_in_with_your_fellows_as_they_roamed_the_alleys_in_search_of_wine,_women,_and_a_good_fight._However,_you_certainly_were_able_to_observe_how_a_broken_jaw_is_set,_or_how_an_angry_townsman_can_be_persuaded_to_set_down_his_club_and_accept_cash_compensation_for_the_destruction_of_his_shop.
qstr_Though_the_distinction_f Though_the_distinction_felt_sudden_to_you,_somewhere_along_the_way_you_had_become_a_{s13},_and_the_whole_world_seemed_to_change_around_you._Heeding_the_call_of_the_open_road,_you_travelled_from_village_to_village_buying_and_selling_what_you_could._It_was_not_a_rich_existence,_but_you_became_a_master_at_haggling_even_the_most_miserly_elders_into_giving_you_a_good_price._Soon,_you_knew,_you_would_be_well-placed_to_start_your_own_trading_empire...
qstr_Though_the_distinction_fe Though_the_distinction_felt_sudden_to_you,_somewhere_along_the_way_you_had_become_a_{s13},_and_the_whole_world_seemed_to_change_around_you._You_pursued_a_career_as_a_smith,_crafting_items_of_function_and_beauty_out_of_simple_metal._As_time_wore_on_you_became_a_master_of_your_trade,_and_fine_work_started_to_fetch_fine_prices._With_food_in_your_belly_and_logs_on_your_fire,_you_could_take_pride_in_your_work_and_your_growing_reputation.
qstr_Though_the_distinction_fel Though_the_distinction_felt_sudden_to_you,_somewhere_along_the_way_you_had_become_a_{s13},_and_the_whole_world_seemed_to_change_around_you._Dissatisfied_with_common_men's_desperate_scrabble_for_coin,_you_took_to_your_local_lord's_own_forests_and_decided_to_help_yourself_to_its_bounty,_laws_be_damned._You_hunted_stags,_boars_and_geese_and_sold_the_precious_meat_under_the_table._You_cut_down_trees_right_under_the_watchmen's_noses_and_turned_them_into_firewood_that_warmed_many_freezing_homes_during_winter._All_for_a_few_silvers,_of_course.
qstr_Only_you_know_exactl Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer._Still,_it_was_not_a_difficult_choice_to_leave,_with_the_rage_burning_brightly_in_your_heart._You_want_vengeance._You_want_justice._What_was_done_to_you_cannot_be_undone,_and_these_debts_can_only_be_paid_in_blood...
qstr_Only_you_know_exactly Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer._All_you_can_say_is_that_you_couldn't_bear_to_stay,_not_with_the_memories_of_those_you_loved_so_close_and_so_painful._Perhaps_your_new_life_will_let_you_forget,_or_honour_the_name_that_you_can_no_longer_bear_to_speak...
qstr_Only_you_know_exactly_ Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer._You're_not_even_sure_when_your_home_became_a_prison,_when_the_familiar_became_mundane,_but_your_dreams_of_wandering_have_taken_over_your_life._Whether_you_yearn_for_some_faraway_place_or_merely_for_the_open_road_and_the_freedom_to_travel,_you_could_no_longer_bear_to_stay_in_the_same_place._You_simply_went_and_never_looked_back...
qstr_Only_you_know_exactly_w Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer._However,_you_know_you_cannot_go_back._There's_nothing_to_go_back_to._Whatever_home_you_may_have_had_is_gone_now,_and_you_must_face_the_fact_that_you're_out_in_the_wide_wide_world._Alone_to_sink_or_swim...
qstr_Only_you_know_exactly_wh Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer._To_everyone_else,_it's_clear_that_you're_now_motivated_solely_by_personal_gain._You_want_to_be_rich,_powerful,_respected,_feared._You_want_to_be_the_one_whom_others_hurry_to_obey._You_want_people_to_know_your_name,_and_tremble_whenever_it_is_spoken._You_want_everything,_and_you_won't_let_anyone_stop_you_from_having_it...
qstr_Back_to_the_beginnin Back_to_the_beginning...
qstr_View_next_segment... View_next_segment...
qstr_{!}__ {!}_-
qstr_{!}_+ {!}_+
qstr_^No_food:___{reg7} ^No_food:__-{reg7}
qstr_^Wage_debt:___{reg6} ^Wage_debt:__-{reg6}
qstr_{!}{s1}^{s4}:_{reg4} {!}{s1}^{s4}:_{reg4}
qstr_{!}DEBUG____{s1}^NPC {!}DEBUG_--_{s1}^NPC_in_rejoin_queue:_{s5}^
qstr_{!}DEBUG:_{s4}_curre {!}DEBUG:_{s4}_current_mission:_{reg2},_days_on_mission:_{reg3},_prisoner:_{reg4},_pphistory:_{reg5}
qstr_Appoint_next_marshal Appoint_next_marshal
qstr_Award_{s12}_as_fief Award_{s12}_as_fief
qstr_{!}Error__{reg3}_ {!}Error_({reg3})
qstr_{!}{s10}^Faction_pol {!}{s10}^Faction_political_issue:_{s11}
qstr_{!}{s10}__on_agenda_ {!}{s10}_(on_agenda_{reg4}_hours)
qstr_{!}Defending {!}Defending
qstr_{!}Gathering_army {!}Gathering_army
qstr_{!}Besieging_{s11} {!}Besieging_{s11}
qstr_{!}Raiding_{s11} {!}Raiding_{s11}
qstr_{!}Attacking_enemies {!}Attacking_enemies_around_{s11}
qstr_No_one No_one
qstr_{!}{s12}__controvers {!}{s12}_(controversy:_{reg21})
qstr_{!}{s12}^Screening_p {!}{s12}^Screening_party:_{s38}
qstr_Selected_faction_is: Selected_faction_is:_{s10}^^{s9}
qstr_You_are_currently_re You_are_currently_reading_{s8}.
qstr_You_are_not_reading_ You_are_not_reading_any_books.
qstr_none none
qstr_{s5}_and_{s6} {s5}_and_{s6}
qstr_{!}{s5}_{s6} {!}{s5},_{s6}
qstr_Your_estates_are:_{s Your_estates_are:_{s8}.^{s9}
qstr_Current_party_size_l Current_party_size_limit_is_{reg5}.^Current_party_size_modifiers_are:^^Base_size:__+30^Leadership:_{s2}{reg1}^Charisma:_{s3}{reg2}^Renown:_{s4}{reg3}^TOTAL:__{reg5}
qstr_Loyal Loyal
qstr_Devoted Devoted
qstr_Fond Fond
qstr_Gracious Gracious
qstr_Friendly Friendly
qstr_Supportive Supportive
qstr_Favorable Favorable
qstr_Cooperative Cooperative
qstr_Accepting Accepting
qstr_Indifferent Indifferent
qstr_Suspicious Suspicious
qstr_Grumbling Grumbling
qstr_Hostile Hostile
qstr_Resentful Resentful
qstr_Angry Angry
qstr_Hateful Hateful
qstr_Revengeful Revengeful
qstr_Vengeful Vengeful
qstr_{!}{s2}^{s4}:_{reg1} {!}{s2}^{s4}:_{reg1}_({s3})
qstr_Your_relation_with_t Your_relation_with_the_factions_are:^{s2}
qstr_Vous_etes_affamé_et Vous_etes_affamé_et_vous_vous_sentez_faible_!_malus_for_-2/_ag_-1
qstr_Rapport_de_santé:^{ Rapport_de_santé:^{s3}
qstr_intacts intacts
qstr_Vous_etes_blessé_a_ Vous_etes_blessé_a_la_jambe_!_malus_for_-1/_ag_-1
qstr_Jambes:_{s9} Jambes:_{s9}
qstr_Vous_etes_blessé_au Vous_etes_blessé_au_bras_!_malus_for_-3/_ag_-4
qstr_Bras:_{s7} Bras:_{s7}
qstr_intacte intacte
qstr_Vous_etes_griévemen Vous_etes_griévement_blessé_a_la_tête_!_malus_for_-1/_int_-4/_cha_-5/_equit/_-1
qstr_Tête:_{s5} Tête:_{s5}
qstr_Initiation_au_savoir Initiation_au_savoir_franc_maconique_par_Maistre_Roncelinus
qstr_Une_page_attire_votr Une_page_attire_votre_attention...
qstr_...Bien_sur_il_est_ ...Bien_sur,_il_est_des_plus_aisé_pour_le_novice_d'ouvrire_la_loge_secrete_de_Carmel_de_Micy_a_Orléans_tandis_que_cela_est_purement_inaccessible_au_non_initié,_c'est_bien_la_que_nostre_savoire_prend_toute_son_empleur.^Poser_simplement_la_main_gauche_sur_la_genouillère,_et_la_main_droite_sur_le_lion_armé,_et_la_loge_vous_ouvrirez...
qstr_Les_loges_secrettes_ Les_loges_secrettes_par_Maistre_Roncelinus
qstr_...La_loge_de_loing_ ...La_loge_de_loing_la_plus_importante_est_celle_de_Rouen_et_nous_savons_pourquois_elle_est_si_bien_gardée,_son_entrée_est_dissimulée_dans_le_vieux_cimetière,_bien_sur_nous_avons_pris_les_plus_grandes_précautions,_ce_lieux_ne_sera_jamais_détruis_ou_meme_transformé...
qstr_Player_renown_is_inc Player_renown_is_increased_by_100._
qstr_Player_honor_is_incr Player_honor_is_increased_by_1_and_it_is_now_{reg7}.
qstr_{reg1}_{s1}_{reg2?ac {reg1}_{s1}_{reg2?accept:accepts}_the_offer.
qstr_No_one_accepts_the_o No_one_accepts_the_offer.
qstr_You_start_reading_{s You_start_reading_{s2}._After_a_few_pages,_you_feel_you_could_learn_a_lot_from_this_book._You_decide_to_keep_it_close_by_and_read_whenever_you_have_the_time.
qstr_You_flip_through_the You_flip_through_the_pages_of_{s2},_but_you_find_the_text_confusing_and_difficult_to_follow._Try_as_you_might,_it_soon_gives_you_a_headache,_and_you're_forced_to_give_up_the_attempt.
qstr_Villagers Villagers
qstr_You_have_encountered You_have_encountered_{s1}.
qstr_You_have_engaged_{s1 You_have_engaged_{s1}_while_they_were_raiding_{s3}.
qstr_You_were_caught_by_{ You_were_caught_by_{s1}_while_your_forces_were_raiding_{s3}.
qstr_You_were_victorious! You_were_victorious!
qstr_Battle_was_lost._You Battle_was_lost._Your_forces_were_utterly_crushed.
qstr_Your_companions_carr Your_companions_carry_you_away_from_the_fighting.
qstr_You_have_defeated_th You_have_defeated_the_enemy.
qstr_You_have_retreated_f You_have_retreated_from_the_fight.
qstr_^^Ally_Casualties:{s ^^Ally_Casualties:{s0}
qstr_{!}{s4}_skipped_in_p {!}{s4}_skipped_in_p_total_enemy_casualties_capture_queue_because_is_friendly
qstr_{s1}_of_{s3}_managed {s1}_of_{s3}_managed_to_escape.
